Name,Location
법계사,전라북도 부안군 상서면 용서길 13
법당정사,경기도 양평군 단월면 석산리 65
법룡사,서울시 강남구 청담동 20-4
법룡사,충남 서산시 지곡면 환성헌터울길 22-14
법륜사,경남 사천시 축동면 탑리 820
법륜사,경남 김해시 장유면 대청리 333-3 갑오마을 부영A 406-1104
법륜사,경남 함안군 여항면 주동리 1336
법륜사,부산시 사하구 다대동 산 16-4 7/6
법륜사포교원,경남 양산시 북부동 222-9
법륜정사,경기도 의정부시 가능동 362-80
법성사,경남 창원시 팔용동 193-6 서상상가 202호
법성사,경기도 수원시 권선구 오목천동 산 4-1
법성사,경남 마산시 회원1동 139-17
법성사,경북 포항시 북구 청하면 유계1리 산1011
법성사,경북 포항시 남구 구룡포읍 성동3리 산260번지
법성사,경북 영주시 휴천3동 1197-2 법성사
법성사,충북 청주시 상당구 탑동 151-1
법성사,대전시 동구 홍도동 157-1
법성사,대전시 대덕구 비례동 143-1
법안정사,부산시 진구 부전1동 396-24번지 2층
법연사,충북 단양군 적성면 상1리 1294-1번지
법왕정사,제주도 북제주군 애월읍 애월리 1598-5
법왕정사,경기도 양평군 단월면 석산리 65
법왕정사,서울시 성동구 성수1가 1동 659-6 노벨빌딩5층
법우선사,부산 연제구 연산3동 2022-55 19/4
법전사,경남 의령군 유곡면 칠곡리 561
법정사,서울시 종로구 평창동 536-3
법정사,충남 서천군 서천읍 군사3리 214-1
법정사,서울시 은평구 불광1동 630-29
법주사,충남 금산군 남일면 신천리 546-4
법주사,전남 담양군 대덕면 문학리 옥천골
법주사,전남 목포시 용해동 45-2
법천사,경기도 화성시 팔탄면 기천리 520번지
법천사,대구광역시 동구 신기동 270-2
법천사,강원도 원주시 태장동 산195-2
법천사,경기도 광주시 초을읍 지월2리 397-10
법화원,부산시 해운대구 반송3동 250-788 3층
법흥사,전남 장흥군 안양면 비동리 499
보각사,경남 진주시 미천면 벌당리 347
보경사,서울시 성북구 보문동 1가 212
보광사,대구시 동구 불로동 382-8
보광사,서울시 동작구 상도2동 159-367
보광선원,부산시 금정구 구례1동 86-23
보광수도사,울산시 울주군 청량면 율리 산323-1
보광정사,부산시 금정구 금사동 64-20
보국사,경기도 연천군 전곡읍 전곡6리 10반 576번지
보담사,경남 함안군 가야읍 산서리 320-1
보등포교원,서울시 서초구 잠원동 8-29
보령사,충남 당진군 면천면 사기소리 14-1
보리암,경기도 의정부시 가능3동 581-215
보리정사,대구시 중구 남산동 735-18
보리정사,경기도 부천시 원미구 소사동 46번지
보림사,강원도 홍천군 서석면 청량리 1168
보명사,경기도 고양시 덕양구 통일로1258번길 31
보명사,경기도 고양시 덕양구 원당로 393번길 14
보명사,경기도 파주시 조리읍 대원리 공문그린시티@507동 1401호
보명사,경기도 고양시 일산서구 탄현동 1563-6
보명선원,서울시 서대문구 홍은3동 265-233
보문사,경기 수원시 팔달구 남창동 55-18
보문정사,부산광역시 남구 용호동 720-42
보문정사,강원도 춘천시 아침길 17-1
보문정사,경기도 양평군 양평읍 공흥리 402-8
보성사,대전시 중구 유천동 293-27
